lesson_id,course_id,title,content
LES-0001,CRS-0072,Deep Dive into State Management,Street member process ask employee they court prove.
LES-0002,CRS-0043,Understanding Git Workflows,Minute success article heart do record performance market movie newspaper identify room difference mouth news.
LES-0003,CRS-0017,Understanding SQL Joins,Free president people class phone defense hand kid how team author protect.
LES-0004,CRS-0098,Getting Started with SQL Joins,Yeah cell clearly manager health newspaper contain director economy.
LES-0005,CRS-0045,Debugging State Management,Wind expert manager grow add small plan low successful would idea such quality risk near.
LES-0006,CRS-0088,Understanding State Management,Debate office government artist amount rate direction sit.
LES-0007,CRS-0009,Mastering SQL Joins,Party magazine people water record back action four close traditional pay beautiful image.
LES-0008,CRS-0020,Getting Started with Arrays & Objects,Control candidate including bag message figure according city strong too.
LES-0009,CRS-0080,Mastering State Management,Serve interview American small peace cost happen either.
LES-0010,CRS-0081,Debugging State Management,Us short spend your too eight check pretty wish.
LES-0011,CRS-0031,Deep Dive into SQL Joins,Answer community board both news Republican kitchen actually language stuff imagine general stand.
LES-0012,CRS-0096,Mastering State Management,Mouth option suffer age phone board still particularly hand about happen result must themselves heavy.
LES-0013,CRS-0035,Understanding REST APIs,Picture hear PM back analysis personal food economic senior sister occur be as couple pay official.
LES-0014,CRS-0024,Deep Dive into REST APIs,Whatever personal coach somebody analysis because be find clear light church white discover must.
LES-0015,CRS-0028,Debugging Git Workflows,Happen mention begin mission concern wear word during any top professional world just let.
LES-0016,CRS-0064,Deep Dive into Git Workflows,Leave rate the development prepare brother great home camera experience born according audience benefit likely avoid.
LES-0017,CRS-0056,Deep Dive into REST APIs,Organization decade teacher finally apply toward key western music everything down court by unit draw across.
LES-0018,CRS-0049,Debugging State Management,Less pressure life call art thank rich show week discover ability under million.
LES-0019,CRS-0084,Deep Dive into Git Workflows,Crime everything serve feeling thus others tonight require two choose because travel research religious term.
LES-0020,CRS-0042,Understanding SQL Joins,Sell begin soon approach wind country success career trip detail though.
LES-0021,CRS-0092,Deep Dive into Arrays & Objects,Go she room wish collection college represent always force deal lot happy.
LES-0022,CRS-0064,Getting Started with SQL Joins,Gas not technology weight oil writer suddenly challenge stop start seem four candidate parent.
LES-0023,CRS-0023,Deep Dive into State Management,Thousand director something hotel eye agreement effect Mr born practice myself age seek.
LES-0024,CRS-0006,Mastering Arrays & Objects,Traditional throw never enjoy record house vote note form class edge.
LES-0025,CRS-0065,Understanding SQL Joins,Team sing per pay daughter although keep happen budget think collection goal energy share much draw.
